name,sku,price,stock
Broca Inoxidable 100m,SKU-VOL-000133,463.8077,24871.918058
Broca Premium 20A,SKU-VOL-000134,188.6721,3326.413223
Cable Galvanizado 100m,SKU-VOL-000135,288.4549,24675.46087
Valvula Galvanizado 15A,SKU-VOL-000136,221.7405,5166.067581
Filtro Estandar 15A,SKU-VOL-000137,81.3635,9179.355627
Soporte Reforzado 10AWG,SKU-VOL-000138,895.6985,2881.800967
Arandela Industrial 12AWG,SKU-VOL-000139,366.5861,43952.489595
Relay Universal 2HP,SKU-VOL-000140,475.1163,47876.810398
Relay Premium 15A,SKU-VOL-000141,888.8328,35070.091526
Candado Compacto 100m,SKU-VOL-000142,877.3635,19240.690474
Conector Compacto 12AWG,SKU-VOL-000143,586.7389,47298.693726
Empaque Economico 15A,SKU-VOL-000144,280.4042,28992.862501
Interruptor Universal 15A,SKU-VOL-000145,131.0937,46781.701966
Arandela Reforzado 110V,SKU-VOL-000146,409.2842,38405.284513
Sensor Economico 10AWG,SKU-VOL-000147,264.1619,18902.782965
Broca Profesional 100m,SKU-VOL-000148,379.663,16346.322613
Correa Premium 220V,SKU-VOL-000149,511.2695,13411.890628
Motor Galvanizado 100m,SKU-VOL-000150,420.5582,45215.907877
Bisagra Industrial 12AWG,SKU-VOL-000151,894.8389,36232.541029
Bisagra Estandar 2HP,SKU-VOL-000152,953.1344,29307.849509
Relay Universal 12AWG,SKU-VOL-000153,110.0259,48033.243557
Candado Industrial M10,SKU-VOL-000154,209.0613,29627.564214
Sensor Economico 220V,SKU-VOL-000155,952.8046,3909.877457
Empaque Estandar 10AWG,SKU-VOL-000156,862.1242,12129.489455
Rodamiento Premium M8,SKU-VOL-000157,504.8703,47259.780693
Sensor Compacto 220V,SKU-VOL-000158,539.2357,27096.405568
Empaque Universal 50m,SKU-VOL-000159,793.0922,30494.908071
Bomba Inoxidable 10AWG,SKU-VOL-000160,550.5653,20026.881513
Bomba Profesional 5HP,SKU-VOL-000161,827.5994,24170.68748
Bisagra Profesional 220V,SKU-VOL-000162,816.7195,37107.276165
Sensor Industrial 15A,SKU-VOL-000163,710.7872,6441.546654
Rodamiento Inoxidable 50m,SKU-VOL-000164,164.7755,27552.037513
Broca Profesional 110V,SKU-VOL-000165,666.6751,30925.243316
Filtro Industrial 2HP,SKU-VOL-000166,343.5164,22030.498889
Cable Industrial 20A,SKU-VOL-000167,461.9871,30597.29835
Soporte Galvanizado 3/4in,SKU-VOL-000168,21.94,5476.524241
Candado Economico 5HP,SKU-VOL-000169,796.8323,5086.088486
Soporte Industrial 1/2in,SKU-VOL-000170,664.3901,7933.53422
Soporte Universal 1/2in,SKU-VOL-000171,0.0756,564.243575
Tornillo Economico 50m,SKU-VOL-000172,209.7131,45481.964757
Bisagra Universal M10,SKU-VOL-000173,376.5502,27637.640656
Sensor Premium 10AWG,SKU-VOL-000174,99.4532,9553.286088
Bisagra Compacto 100m,SKU-VOL-000175,55.3545,34367.428899
Sensor Economico 15A,SKU-VOL-000176,565.055,34070.979587
Filtro Inoxidable M6,SKU-VOL-000177,185.0044,26810.719481
Manguera Inoxidable 20A,SKU-VOL-000178,450.7135,28198.881251
Tornillo Galvanizado M8,SKU-VOL-000179,112.2104,14997.015155
Empaque Universal 3/4in,SKU-VOL-000180,244.6323,33717.285811
Motor Galvanizado M10,SKU-VOL-000181,473.5154,15433.649144
Rodamiento Economico M10,SKU-VOL-000182,312.4144,30548.865642
Arandela Reforzado 12AWG,SKU-VOL-000183,527.9749,16963.732879
Tornillo Universal 50m,SKU-VOL-000184,839.872,10228.544735
Bomba Compacto 100m,SKU-VOL-000185,535.0396,8713.444583
Interruptor Estandar 15A,SKU-VOL-000186,754.7142,34743.5777
Filtro Galvanizado 110V,SKU-VOL-000187,890.3837,49499.341426
Soporte Galvanizado 110V,SKU-VOL-000188,875.64,3127.42442
Sensor Galvanizado 220V,SKU-VOL-000189,839.3471,21824.343233
Candado Reforzado 110V,SKU-VOL-000190,772.275,13337.189152
Arandela Universal 12AWG,SKU-VOL-000191,40.2659,2081.971942
Interruptor Galvanizado 5HP,SKU-VOL-000192,299.4208,3133.321229
Arandela Industrial 12AWG,SKU-VOL-000193,617.2377,2698.147345
Rodamiento Profesional 110V,SKU-VOL-000194,537.9781,19551.960318
Sensor Estandar M8,SKU-VOL-000195,777.386,38382.49654
Tornillo Economico M8,SKU-VOL-000196,98.9892,13873.396378
Tuerca Inoxidable M6,SKU-VOL-000197,488.2371,28196.900677
Motor Reforzado 220V,SKU-VOL-000198,848.7859,37648.179563
Valvula Industrial 1/2in,SKU-VOL-000199,813.0363,46353.148085
Manguera Premium 15A,SKU-VOL-000200,785.4382,47209.642966
Manguera Galvanizado M6,SKU-VOL-000201,381.6268,42990.11931
Bisagra Inoxidable 5HP,SKU-VOL-000202,272.3837,2042.117343
Valvula Galvanizado 220V,SKU-VOL-000203,22.2304,49451.150675
Broca Industrial 100m,SKU-VOL-000204,53.8636,18988.464898
Manguera Industrial 2HP,SKU-VOL-000205,784.7674,6740.347276
Broca Industrial 3/4in,SKU-VOL-000206,850.2501,21217.637356
Conector Reforzado 3/4in,SKU-VOL-000207,154.7405,47227.872534
Sensor Inoxidable 5HP,SKU-VOL-000208,628.2945,37942.785275
Candado Profesional 1/2in,SKU-VOL-000209,807.9844,24591.198156
Motor Compacto 1/2in,SKU-VOL-000210,824.0023,28285.094457
Valvula Estandar 15A,SKU-VOL-000211,406.0486,32125.873227
Valvula Economico 1/2in,SKU-VOL-000212,246.9547,23227.134823
Relay Profesional 15A,SKU-VOL-000213,847.4553,13232.673385
Arandela Premium 10AWG,SKU-VOL-000214,77.6175,27368.983686
Bomba Estandar 3/4in,SKU-VOL-000215,294.7667,25221.521955
Conector Universal 100m,SKU-VOL-000216,293.4353,24031.46004
Candado Universal 12AWG,SKU-VOL-000217,285.114,6504.008736
Rodamiento Estandar 100m,SKU-VOL-000218,511.8656,32986.416194
Correa Profesional 12AWG,SKU-VOL-000219,164.2164,2182.145045
Manguera Inoxidable 10AWG,SKU-VOL-000220,543.5955,17294.377097
Broca Reforzado M10,SKU-VOL-000221,277.17,47645.795693
Soporte Industrial 220V,SKU-VOL-000222,901.1226,43251.836483
Rodamiento Industrial 50m,SKU-VOL-000223,765.8061,28273.477768
Bisagra Industrial 220V,SKU-VOL-000224,717.5052,39724.383196
Bisagra Compacto 15A,SKU-VOL-000225,417.5489,2349.940526
Arandela Economico M8,SKU-VOL-000226,251.1675,7891.028378
Tuerca Compacto 10AWG,SKU-VOL-000227,946.8936,6238.583641
Conector Inoxidable M10,SKU-VOL-000228,332.151,11111.592181
Rodamiento Inoxidable 50m,SKU-VOL-000229,646.6939,8990.886043
Sensor Profesional 5HP,SKU-VOL-000230,598.3123,10228.023264
Valvula Reforzado 2HP,SKU-VOL-000231,748.9024,25419.071329
Empaque Premium 2HP,SKU-VOL-000232,230.2182,42434.932567
Soporte Universal 1/2in,SKU-VOL-000233,743.4599,39820.896806
Tuerca Inoxidable 50m,SKU-VOL-000234,641.1592,40098.660132
Tuerca Economico M10,SKU-VOL-000235,495.4956,17033.662352
Tornillo Compacto 1/2in,SKU-VOL-000236,237.911,30296.298177
Correa Estandar 220V,SKU-VOL-000237,46.8116,44731.549567
Candado Inoxidable 110V,SKU-VOL-000238,439.0206,8497.256953
Rodamiento Industrial 50m,SKU-VOL-000239,483.301,14269.961866
Filtro Profesional 1/2in,SKU-VOL-000240,850.0724,5497.818955
Relay Profesional M6,SKU-VOL-000241,796.1411,5277.720399
Manguera Economico M10,SKU-VOL-000242,408.5698,23379.225574
Correa Industrial 220V,SKU-VOL-000243,623.8982,15338.136309
Bomba Estandar 1/2in,SKU-VOL-000244,848.7235,45335.885415
Manguera Reforzado 110V,SKU-VOL-000245,471.384,16290.590594
Tuerca Economico 2HP,SKU-VOL-000246,210.3817,38895.464055
Correa Reforzado 10AWG,SKU-VOL-000247,128.0645,44316.816956
Empaque Estandar 2HP,SKU-VOL-000248,940.3627,27349.522769
Soporte Profesional M10,SKU-VOL-000249,970.9037,31043.750737
Broca Profesional 3/4in,SKU-VOL-000250,176.845,33536.8246
Cable Estandar 12AWG,SKU-VOL-000251,943.2614,38674.421254
Filtro Industrial 110V,SKU-VOL-000252,470.6551,1426.377916
Broca Premium 50m,SKU-VOL-000253,630.4384,48159.229289
Broca Inoxidable 10AWG,SKU-VOL-000254,737.4481,16432.611512
Valvula Galvanizado 3/4in,SKU-VOL-000255,302.2801,49923.304981
Conector Economico 110V,SKU-VOL-000256,850.1299,46803.738036
Correa Galvanizado 110V,SKU-VOL-000257,539.316,28989.80136
Cable Inoxidable 12AWG,SKU-VOL-000258,354.3496,15002.357315
Empaque Inoxidable 1/2in,SKU-VOL-000259,911.8637,8873.316557
Bomba Profesional 110V,SKU-VOL-000260,8.6823,11324.03927
Motor Reforzado 110V,SKU-VOL-000261,847.5215,18559.436183
Filtro Industrial M8,SKU-VOL-000262,944.7937,49486.976536
Bomba Compacto 2HP,SKU-VOL-000263,534.5164,24676.092237
Relay Inoxidable 12AWG,SKU-VOL-000264,51.2222,39085.893398
Bomba Estandar 50m,SKU-VOL-000265,437.701,17768.064801
Correa Estandar 10AWG,SKU-VOL-000266,124.9912,17898.397063
Interruptor Compacto 110V,SKU-VOL-000267,623.8756,14138.234739
Manguera Industrial 2HP,SKU-VOL-000268,168.4984,843.087049
Arandela Galvanizado 12AWG,SKU-VOL-000269,364.5998,33392.217491
Filtro Industrial 2HP,SKU-VOL-000270,418.8354,23656.932648
Soporte Reforzado 220V,SKU-VOL-000271,226.7461,29262.250769
Manguera Reforzado M10,SKU-VOL-000272,492.5155,42577.344455
Cable Galvanizado 50m,SKU-VOL-000273,587.1838,39430.883801
Interruptor Universal M6,SKU-VOL-000274,252.0345,7438.095779
Bomba Industrial 1/2in,SKU-VOL-000275,34.3773,32550.729896
Empaque Universal 5HP,SKU-VOL-000276,769.5245,39987.479262
Sensor Galvanizado 50m,SKU-VOL-000277,651.3257,22427.005797
Tornillo Economico 10AWG,SKU-VOL-000278,39.2158,48003.990971
Cable Economico M10,SKU-VOL-000279,316.8031,41537.543033
Sensor Galvanizado 100m,SKU-VOL-000280,575.7708,22078.669454
Relay Industrial 220V,SKU-VOL-000281,270.2222,42963.188953
Candado Universal 12AWG,SKU-VOL-000282,575.3825,29911.144627
Rodamiento Profesional 10AWG,SKU-VOL-000283,692.5657,21378.638559
Correa Inoxidable 3/4in,SKU-VOL-000284,139.0922,36993.832857
Manguera Compacto M6,SKU-VOL-000285,291.9147,49858.335708
Motor Universal 50m,SKU-VOL-000286,203.4572,10583.573934
Manguera Economico M6,SKU-VOL-000287,328.3927,4167.885149
Broca Reforzado 2HP,SKU-VOL-000288,791.9212,29092.966383
Cable Compacto 20A,SKU-VOL-000289,440.5911,25397.389999
Filtro Profesional 220V,SKU-VOL-000290,888.6579,14907.46232
Motor Estandar 2HP,SKU-VOL-000291,835.634,6217.157541
Interruptor Industrial M10,SKU-VOL-000292,273.0527,9961.362258
Tornillo Economico 1/2in,SKU-VOL-000293,363.9227,14578.794858
Rodamiento Profesional M6,SKU-VOL-000294,609.2913,1975.909668
Broca Industrial 220V,SKU-VOL-000295,556.8147,29096.368132
Candado Inoxidable 110V,SKU-VOL-000296,783.4749,20330.497399
Tuerca Estandar M6,SKU-VOL-000297,904.6061,26176.491578
Soporte Premium 1/2in,SKU-VOL-000298,204.1739,42734.46649
Broca Industrial 10AWG,SKU-VOL-000299,592.8931,28130.040284
Interruptor Reforzado 12AWG,SKU-VOL-000300,149.3068,2702.891036
Tuerca Profesional 100m,SKU-VOL-000301,849.1792,47400.974272
Bomba Universal M10,SKU-VOL-000302,254.2885,12683.211413
Correa Compacto 10AWG,SKU-VOL-000303,865.8493,6334.970731
Motor Universal 10AWG,SKU-VOL-000304,839.9164,17171.657443
Cable Premium 15A,SKU-VOL-000305,754.4567,33344.000221
Manguera Galvanizado 50m,SKU-VOL-000306,993.7765,18514.544223
Motor Estandar 12AWG,SKU-VOL-000307,729.4711,16065.120635
Correa Compacto 1/2in,SKU-VOL-000308,956.5346,45845.684035
Arandela Industrial 50m,SKU-VOL-000309,949.7634,16909.831188
Soporte Galvanizado 220V,SKU-VOL-000310,466.3204,44434.435966
Manguera Universal 110V,SKU-VOL-000311,805.2171,43266.023436
Conector Inoxidable M10,SKU-VOL-000312,182.9661,30076.053636
Soporte Universal M10,SKU-VOL-000313,883.3679,28534.903018
Interruptor Industrial 5HP,SKU-VOL-000314,544.8682,30203.104476
Interruptor Galvanizado 10AWG,SKU-VOL-000315,922.9197,11231.381382
Tuerca Estandar 100m,SKU-VOL-000316,416.5983,36508.859292
Relay Reforzado 220V,SKU-VOL-000317,105.9765,2501.287336
Bisagra Inoxidable 5HP,SKU-VOL-000318,864.0159,26095.766749
Bisagra Estandar M6,SKU-VOL-000319,355.6151,49773.15194
Interruptor Economico M8,SKU-VOL-000320,379.636,6130.43709
Soporte Economico 50m,SKU-VOL-000321,861.8624,33396.923744
Bomba Compacto 5HP,SKU-VOL-000322,580.8141,38300.420315
Rodamiento Universal 2HP,SKU-VOL-000323,452.5191,43203.130548
Conector Compacto M8,SKU-VOL-000324,833.3922,36105.384275
Rodamiento Estandar 20A,SKU-VOL-000325,23.4748,39903.267981
Soporte Galvanizado M6,SKU-VOL-000326,927.4521,49973.446433
Cable Premium 220V,SKU-VOL-000327,294.1121,39968.747734
Conector Reforzado 5HP,SKU-VOL-000328,437.7059,20810.485618
Sensor Industrial M6,SKU-VOL-000329,98.7735,2182.650497
Empaque Profesional 110V,SKU-VOL-000330,491.4165,11476.197961
Bisagra Universal 1/2in,SKU-VOL-000331,657.2504,31870.100406
Correa Reforzado 50m,SKU-VOL-000332,64.5951,38168.369298
Empaque Estandar 2HP,SKU-VOL-000333,581.3446,28757.778266
Interruptor Estandar 12AWG,SKU-VOL-000334,652.9435,3562.199489
Filtro Universal 5HP,SKU-VOL-000335,417.5987,15601.9128
Sensor Estandar 2HP,SKU-VOL-000336,978.8654,41308.168714
Manguera Industrial 110V,SKU-VOL-000337,698.1576,9952.192386
Broca Economico 15A,SKU-VOL-000338,656.3475,12522.580737
Bomba Premium 110V,SKU-VOL-000339,674.1019,22352.988935
Tornillo Estandar 12AWG,SKU-VOL-000340,523.1931,40298.09583
Bomba Reforzado 100m,SKU-VOL-000341,420.2438,31742.306162
Empaque Reforzado 15A,SKU-VOL-000342,345.5242,11794.311675
Interruptor Compacto 50m,SKU-VOL-000343,238.2579,22749.902482
Candado Universal M6,SKU-VOL-000344,382.4998,10893.421392
Interruptor Compacto 20A,SKU-VOL-000345,402.7423,21176.795858
Broca Premium 50m,SKU-VOL-000346,969.986,15029.798269
Tornillo Universal M10,SKU-VOL-000347,173.7095,9290.814101
Arandela Reforzado M8,SKU-VOL-000348,63.9464,10857.714578
Cable Reforzado 220V,SKU-VOL-000349,420.6972,2038.546443
Interruptor Premium 3/4in,SKU-VOL-000350,219.5589,28687.749584
Cable Estandar M8,SKU-VOL-000351,305.5426,28125.24856
Cable Compacto 220V,SKU-VOL-000352,996.1314,12533.375254
Relay Premium 15A,SKU-VOL-000353,45.2288,9987.083827
Manguera Premium 15A,SKU-VOL-000354,52.6274,15862.480232
Motor Inoxidable 50m,SKU-VOL-000355,165.5627,2869.377566
Tuerca Economico 10AWG,SKU-VOL-000356,362.0122,11013.575648
Cable Economico 20A,SKU-VOL-000357,396.8048,6989.271872
Motor Universal 100m,SKU-VOL-000358,610.767,1619.127254
Relay Galvanizado M8,SKU-VOL-000359,812.5295,25612.595922
Soporte Estandar 12AWG,SKU-VOL-000360,221.1553,35480.659518
Soporte Compacto 1/2in,SKU-VOL-000361,901.6265,44053.074552
Sensor Estandar 100m,SKU-VOL-000362,248.2124,24247.590743
Cable Industrial M10,SKU-VOL-000363,776.0802,4803.0681
Relay Compacto 12AWG,SKU-VOL-000364,904.5832,25474.754221
Correa Estandar M10,SKU-VOL-000365,20.2773,29076.786167
Tornillo Profesional M10,SKU-VOL-000366,652.823,6586.009127
Conector Profesional M8,SKU-VOL-000367,652.1086,14224.537189
Relay Inoxidable 15A,SKU-VOL-000368,515.6243,35113.286825
Valvula Universal 5HP,SKU-VOL-000369,126.3002,43354.034165
Motor Profesional 10AWG,SKU-VOL-000370,716.5642,39063.738188
Sensor Universal 110V,SKU-VOL-000371,711.1697,8956.568762
Correa Premium 1/2in,SKU-VOL-000372,320.6723,42844.044786
Bisagra Premium 1/2in,SKU-VOL-000373,116.624,35795.951744
Bomba Economico 220V,SKU-VOL-000374,491.8739,18198.715881
Tornillo Galvanizado 50m,SKU-VOL-000375,203.0197,10483.678482
Bomba Inoxidable M8,SKU-VOL-000376,153.0637,45018.918903
Correa Premium 12AWG,SKU-VOL-000377,871.3295,34932.110405
Soporte Economico 12AWG,SKU-VOL-000378,473.1564,37253.599748
Correa Compacto 220V,SKU-VOL-000379,658.6003,42890.722511
Tuerca Galvanizado 220V,SKU-VOL-000380,410.097,11819.665442
Conector Industrial 15A,SKU-VOL-000381,352.9539,38691.547904
Conector Economico 10AWG,SKU-VOL-000382,501.7058,26859.842533
Conector Reforzado M8,SKU-VOL-000383,420.1943,17573.968748
Bomba Universal 10AWG,SKU-VOL-000384,417.6804,39760.758653
Bomba Profesional M6,SKU-VOL-000385,746.547,42936.069538
Correa Reforzado 3/4in,SKU-VOL-000386,345.0631,7906.855251
Tornillo Premium 5HP,SKU-VOL-000387,915.9067,7383.308237
Rodamiento Estandar M8,SKU-VOL-000388,98.2724,45922.427483
Tornillo Galvanizado 100m,SKU-VOL-000389,935.4967,48967.225966
Manguera Compacto M8,SKU-VOL-000390,307.4724,12652.80883
Interruptor Premium M8,SKU-VOL-000391,614.6771,29614.084437
Interruptor Economico M8,SKU-VOL-000392,494.0912,12990.809098
Bomba Galvanizado 50m,SKU-VOL-000393,343.7268,26257.372823
Rodamiento Compacto M10,SKU-VOL-000394,272.6758,43393.722895
Interruptor Inoxidable 3/4in,SKU-VOL-000395,499.1503,38938.961732
Tornillo Galvanizado M8,SKU-VOL-000396,767.1818,25551.709032
Tuerca Industrial 50m,SKU-VOL-000397,92.2599,46500.858081
Conector Reforzado M6,SKU-VOL-000398,324.2173,45457.960919
Rodamiento Premium 110V,SKU-VOL-000399,837.716,13620.872034
Broca Galvanizado 110V,SKU-VOL-000400,410.8744,24068.412731
Bisagra Premium 15A,SKU-VOL-000401,439.4658,1348.589012
Rodamiento Economico 110V,SKU-VOL-000402,835.6766,29496.000418
Bomba Economico 10AWG,SKU-VOL-000403,982.5681,8116.649142
Bomba Galvanizado 100m,SKU-VOL-000404,413.6397,37825.637072
Manguera Compacto 15A,SKU-VOL-000405,363.4258,19135.182919
